지점,일시,평균기온,최저기온,최고기온,평균 풍속,평균 상대습도,평균 현지기압,합계 일조 시간,평균 전운량,평균 지면온도
108,2003-10-14,13.3,10,16.7,2.7,63.9,1004.7,3.1,4.5,14.1
108,2003-10-15,12.1,7.3,16.2,2.2,51.6,1006.4,7.5,1.1,12.5
108,2003-10-16,13.7,9.1,18.5,1.9,58.5,1008.2,9,1,14.9
108,2003-10-17,13.5,9,19.1,2.1,71.1,1008,7,2.3,13.6
108,2003-10-18,14,10.3,19.3,2,54.4,1009.1,7.2,1.8,14.7
108,2003-10-19,12.1,6.4,18.2,1.5,48.9,1011.5,8.9,0,13.2
108,2003-10-20,12.4,8.3,17.5,1.3,61.4,1007.7,2.4,5.3,11.8
108,2003-10-21,11.6,9,15.1,1.4,86.9,1004,0.7,5,10.3
108,2003-10-22,11.7,8,15.8,3.1,66.1,1003.5,6.8,2.6,11.3
108,2003-10-23,8.4,4.3,12.6,2.5,39.8,1008.3,9.1,0,8.6
108,2003-10-24,10.7,4,16,2,62.5,1005.8,7.1,3.1,9.1
108,2003-10-25,12.2,8.8,16.2,2.7,54.9,1004.8,8.6,2.5,11.1
108,2003-10-26,10.7,4.8,16.8,1.4,55.6,1007.8,8.8,0.1,9.6
108,2003-10-27,14.3,7.8,20.8,2.6,56,1006,8.2,1,11.8
108,2003-10-28,8,5.4,15.8,4.4,52.6,1006.8,6.2,4.1,7.9
108,2003-10-29,7.5,2.7,12.8,2.3,51.3,1012,8.5,0,6.7
108,2003-10-30,10.9,4.8,17,1.4,54,1010.6,7.5,4.3,8.9
108,2003-10-31,13.9,9.1,20.5,1.3,57.6,1008.1,4.9,4,11
108,2003-11-01,14.3,9.3,20.7,1.7,69.6,1007.4,8,0.9,11.5
108,2003-11-02,16.6,12.6,21.3,2,77.9,1007.3,3.2,7.4,15
108,2003-11-03,12,6.4,17,3.6,52.9,1008.9,6.4,3.1,12.5
108,2003-11-04,10.2,3.4,17.2,1.4,38.4,1012.7,8,1.9,8.3
108,2003-11-05,13.8,8.1,19.8,1.4,50.3,1008.6,6.9,2.9,10.6
108,2003-11-06,14.4,9.6,19.7,1.4,65.8,1008.5,7.1,2,12.2
108,2003-11-07,12.3,11.3,14.1,1.4,86.4,1007.2,0,8.5,10.9
108,2003-11-08,9.4,8.5,11.3,1.2,95.9,1007.9,0,10,9.9
108,2003-11-09,11,8.6,14.1,1.2,78.9,1012.6,0.7,7.8,10.3
108,2003-11-10,11.9,10.5,13.5,2,74.3,1011.5,0,9,9.9
108,2003-11-11,9.8,7.9,11.6,2.2,83.8,1010.4,0.6,7.9,9.3
108,2003-11-12,8.7,7.4,9.8,2.1,83.8,1012.7,0,8.9,8.1
108,2003-11-13,8.3,4.5,13,1.7,70.6,1016.5,8,0.6,7.3
108,2003-11-14,8.8,4.3,12.8,1.5,71.4,1015.9,3.9,5.4,6.2
108,2003-11-15,10.7,7.4,15.6,2.5,70.5,1007.8,0.3,6.8,8.9
108,2003-11-16,5,2,8.3,2.6,40.3,1015.3,8.2,0,3.9
108,2003-11-17,5.6,-0.6,12.5,1.2,45.3,1018.3,8.1,0.4,2.8
108,2003-11-18,8.7,2.9,15.6,1.4,57.4,1014,4.8,5.1,5.7
108,2003-11-19,13.1,7.8,17.2,2,50.1,1009.4,4.7,7.4,9.4
108,2003-11-20,12.1,8.6,14.6,2.2,80.5,1002.1,0,9.3,10.6
108,2003-11-21,4.6,-1.1,9.1,4.3,58.8,1007.9,5.4,3.9,5
108,2003-11-22,-0.1,-3.2,3.4,2.6,37.6,1020.5,8.4,0,0
108,2003-11-23,2.8,-2.7,8.1,1.6,41.6,1023.8,8.1,2.6,0.8
108,2003-11-24,6.4,3.7,8.3,2.1,41.1,1019.1,0,8.4,3.4
108,2003-11-25,8.1,5,11.8,1.6,76.3,1019.1,6.5,4.5,6.2
108,2003-11-26,9.5,7,12.1,2.2,73,1019.1,0,8.8,6.5
108,2003-11-27,9.7,7.3,13,3,69.8,1017.5,0.2,8.9,7.6
108,2003-11-28,11.6,8.6,15.3,2.5,75.3,1011.9,0.9,8.6,8.9
108,2003-11-29,8.7,7.5,11.1,2.5,87.1,1007.7,0,9.8,8.5
108,2003-11-30,7.7,4.5,11.8,1.6,77,1010.7,5.6,1.9,6.2
108,2003-12-01,7.2,4,12,1.7,76.6,1012.2,7.6,1.9,4.7
108,2003-12-02,5.8,3.2,8.6,1.9,64.1,1013.3,5.7,4.3,3.3
108,2003-12-03,3,-0.8,6.9,2.1,52.1,1014.6,4.7,1.1,1.2
108,2003-12-04,2.2,-2.5,6.5,1.4,34.9,1018.6,7.7,3.4,0.1
108,2003-12-05,6,2.2,9.1,1.9,51.5,1014.1,1.5,8.5,3.1
108,2003-12-06,3.4,-4.4,8.8,3.3,69.1,1010,3.1,6.3,3.9
108,2003-12-07,-4.8,-7.9,-1.8,2.8,45.8,1020.7,8.6,1,-4
108,2003-12-08,-0.8,-4,3.2,2.5,68.6,1019.7,4.6,4.4,-1.4
108,2003-12-09,-2.7,-4.9,-0.3,1.8,48.8,1024,0.9,3.6,-2.9
108,2003-12-10,-0.4,-5.4,4,1.4,50.6,1020.7,6.3,4.6,-2.4
108,2003-12-11,2.4,0,5.9,2.1,54.3,1012.9,7.4,3.8,0.3
108,2003-12-12,0,-1.3,2.2,2.4,63.9,1011.6,5.9,1.3,-1.4
108,2003-12-13,0.4,-3.5,4.5,1.7,61.9,1014.2,7.9,0.1,-2.2
108,2003-12-14,1.7,-2.5,5.9,2,62.9,1012.9,8.5,1.3,-1.2
108,2003-12-15,-0.2,-2.5,2.7,2.8,51.1,1012,8.5,0,-1.5
108,2003-12-16,1.2,-4.1,4.5,1.7,59.6,1010.7,6.7,4.6,-1.9
108,2003-12-17,-0.7,-4.4,3.7,3.6,60.8,1008.7,7.8,2.9,-0.9
108,2003-12-18,-3.4,-5.1,-1.2,2.5,57.8,1012.2,0.2,4.5,-3.3
108,2003-12-19,-5.4,-7,-2.2,4.1,44.8,1013.1,8.2,0.8,-4.9
108,2003-12-20,-4.8,-8.1,-0.8,2.8,37.9,1018.3,8.6,0,-5.3
108,2003-12-21,-1.2,-7.1,3,1.5,59.3,1018.6,6.2,3.1,-3.5
108,2003-12-22,3.3,-1.2,9.1,1.9,74.5,1011.7,7.3,0,-1.3
108,2003-12-23,4.5,-0.2,9,2.3,82,1007,5,2.3,-0.1
108,2003-12-24,2.5,0.8,5.6,1.8,92.1,1007.5,0,6.8,0.5
108,2003-12-25,0.9,-3.2,3.7,3.3,62.9,1006.6,6.2,3.9,0.1
108,2003-12-26,-3.8,-5.5,-0.8,3.6,44.9,1010.1,8.3,0,-3.4
108,2003-12-27,-3,-6.5,1.1,2.1,45.9,1018.3,8.5,0.4,-3.9
108,2003-12-28,2.3,-2.7,6.3,2.6,60,1018.1,5.3,6.1,-0.2
108,2003-12-29,4.2,-0.8,7.5,3.3,66.8,1013.5,6,3.4,1.1
108,2003-12-30,0.3,-1.8,3,2.1,47.3,1014,4.3,6.3,-1.2
108,2003-12-31,2.7,-0.3,5.8,2,68,1009.1,2.6,3.9,-1
108,2004-01-01,3.7,1.2,5.9,1.9,73.1,1008.8,0.7,6.4,0.6
108,2004-01-02,3.1,1.6,5.5,2.5,65.9,1007.5,7.9,3.3,1.9
108,2004-01-03,3.9,1.6,7.1,2.2,54,1013,8.1,0.8,1
108,2004-01-04,1.8,-1.7,6.8,1.3,37.5,1018.1,8.6,0.1,-1.3
108,2004-01-05,2.9,-2.2,8.1,1.4,52.3,1017.9,7.8,1.9,-1.2
108,2004-01-06,4.5,1.8,6.8,1.4,71.1,1015.5,0.4,7.3,1.3
108,2004-01-07,1.7,-1.5,5.1,3,65.4,1017,5.6,3.6,1.4
108,2004-01-08,0.3,-4,5.6,1.3,40.9,1021.4,8.2,2.8,-2.6
108,2004-01-09,1.8,-0.8,5,2.1,56,1017.3,6.5,2.1,-1
108,2004-01-10,-0.3,-3.5,3.2,2.9,43.1,1017.7,7.6,3.3,-0.4
108,2004-01-11,-0.6,-5.6,4.5,1.5,40.9,1016.6,3,4.8,-2.4
108,2004-01-12,-0.7,-4.5,1.8,2.8,71,1008.3,0,9,-1.2
108,2004-01-13,-6.7,-8.8,-3.9,3.8,58,1011,8.2,2.8,-3
108,2004-01-14,-5.1,-9.6,-1.3,1.6,47.6,1016.9,5.1,2.4,-4.9
108,2004-01-15,-1.3,-5,3.2,1.7,65.8,1017.5,4.5,4.1,-2.5
108,2004-01-16,1.4,-3.5,5.5,1.7,66,1015.3,2.1,6.1,-1.2
108,2004-01-17,1.2,0.6,3.2,1.6,90.4,1012.9,0,9.4,-0.3
108,2004-01-18,0.3,-1.6,1.5,2.2,88.4,1008.9,0,9.4,-0.3
108,2004-01-19,-1,-3.2,1.7,2.7,59.9,1009.9,8.4,3.1,0.2
108,2004-01-20,-4.4,-9.5,0,2.5,50.3,1010.6,8.1,3.3,-1.9
108,2004-01-21,-14.3,-16,-9.5,3.9,46.6,1011.4,8.6,0.8,-1.5
108,2004-01-22,-13,-16.7,-9.1,3.3,50.6,1013.3,8.6,0,-3.3
108,2004-01-23,-8.7,-13.1,-4.9,2,50.5,1012.7,8.4,1.4,-3.8
108,2004-01-24,-7.3,-10.1,-3.7,2.2,53.5,1010.8,8.6,0.4,-3.8
108,2004-01-25,-7,-9.3,-3.7,2.2,60.6,1014.4,7.7,0.1,-4
108,2004-01-26,-5.9,-10.1,-2.2,1.6,63.8,1015.2,4.7,2.3,-4.3
108,2004-01-27,-4.1,-8.1,0.3,2.2,54.1,1011.9,8.4,0.4,-4
108,2004-01-28,-0.4,-5.3,4.9,1.8,62.8,1009.4,3.9,5.1,-1.6
108,2004-01-29,2.3,-0.2,5.8,1.8,66.5,1008.2,0.9,5.4,0.1
108,2004-01-30,1.7,-1.1,6,1.7,65.8,1010.4,7.8,0.6,0.3
108,2004-01-31,1.9,-2.5,7.4,1.6,65.3,1012.2,8,1,0.2
108,2004-02-01,3.1,-0.6,9.1,1.8,58.9,1006.3,6.2,4.3,0.7
108,2004-02-02,-1.7,-5.9,2.5,3.6,44.3,1005.8,8.2,2.5,0.1
108,2004-02-03,-4.2,-7.1,-0.5,3.3,42.9,1007,7.4,1.4,-2.9
108,2004-02-04,-1.4,-5.8,2.5,3.1,57.3,1006.3,7.7,4,-1.7
108,2004-02-05,-4.9,-7.3,-0.8,3.8,41.6,1011.9,7.9,1.9,-3.4
108,2004-02-06,-4,-7.8,-0.6,2.5,61.3,1012.6,5.1,4.4,-3.1
108,2004-02-07,-3.6,-7.6,-0.4,3.4,58.8,1015,8.6,2.9,-1.8
108,2004-02-08,-0.2,-3.7,5.5,2.7,56.9,1012.6,8.5,0,-0.9
108,2004-02-09,-2.2,-6.5,3,2,44.8,1018.8,9,0,-1.7
108,2004-02-10,-0.3,-5.5,4.5,1.8,48,1018,8.3,2,-1.3
108,2004-02-11,2.3,-0.1,5.9,2.3,66.9,1015.2,2.1,6.3,0.3
108,2004-02-12,1.9,-1.3,6.5,2.1,57.4,1016.6,9.1,0.6,0.8
108,2004-02-13,3.8,-1,7,2.4,55.5,1005.9,2.7,7,0.6
108,2004-02-14,3.5,0.8,6.8,4.9,54.8,999.5,5.6,4.5,2.2
108,2004-02-15,3.5,-0.6,8.6,2.7,51.8,1010.9,9,0,0.7
108,2004-02-16,4.2,-0.4,9.6,2.3,58.9,1012.6,8.4,3.1,0.9
108,2004-02-17,4.4,2.2,7.9,3.4,61.3,1008.2,8.5,3.3,3.6
108,2004-02-18,5.3,-0.5,11.3,2.6,44,1010,9,0,2.7
108,2004-02-19,8.2,1.5,15.6,1.7,30.8,1012.9,8.9,0,4.1
108,2004-02-20,11.5,3.2,18.7,1.8,30,1015.1,8.6,1.8,6.1
108,2004-02-21,10.7,7.9,14.6,2.5,84.1,1004.6,0,10,8.6
108,2004-02-22,3.7,1.2,13.3,4.6,89.6,995.8,0,10,4.6
108,2004-02-23,1.5,-1.3,6,3.2,56.5,1010.8,9.6,1,3
108,2004-02-24,4,0.4,6.3,3.4,76.1,1008.9,0,8,1.6
108,2004-02-25,6,2.4,10.6,4.2,68,1000.7,1.5,4.9,4.4
108,2004-02-26,1.5,-0.8,4.8,3.7,49.6,1005.6,9.3,2,2.7
108,2004-02-27,1.9,-1.8,6.1,2.6,54,1009.3,9.5,0.4,3
108,2004-02-28,5.5,0.3,10.5,2.3,67.1,1001.8,0.4,7.3,2.7
108,2004-02-29,2.9,0.3,6.5,3,47.8,1006,7,6.5,4.5
108,2004-03-01,1.7,-1.1,6,3.3,35.9,1009.4,9.4,1.6,3.6
108,2004-03-02,-2,-4.5,1.5,3.7,29.4,1011.1,10.1,0.1,1.8
108,2004-03-03,-1.7,-4.3,2.2,2.4,35.3,1006.7,5.5,5.8,1.6
108,2004-03-04,-1.5,-5.5,2.5,2.5,64.3,1006.1,6.5,4.1,0.8
108,2004-03-05,-0.1,-1.7,3.5,1.9,78.4,1004,1.7,7.5,1.2
108,2004-03-06,-3.4,-5,-0.8,3.7,50,1012.6,8.5,2.3,-0.5
108,2004-03-07,-1.4,-5.6,2.2,3.2,51.8,1020.1,10,0.5,0.2
108,2004-03-08,3.1,-2.2,6.9,2.8,75.3,1015,3.7,4,1.4
108,2004-03-09,7.8,1.2,13.5,2.8,65.8,1006.6,7.6,0.4,5.1
108,2004-03-10,10.4,7.5,14,4.3,66.1,999.5,0.2,7.8,7.2
108,2004-03-11,5.7,3.2,9.1,2.8,29.6,1009.3,6.9,5.9,6.2
108,2004-03-12,6.9,2.9,11.6,2.6,39.8,1010.9,9.1,2.9,7
108,2004-03-13,7.8,4,12.6,1.9,61.1,1011.9,5.4,5.8,8.1
108,2004-03-14,6.7,4,12,2.2,69.1,1010.9,6.5,3.4,6.9
108,2004-03-15,9.4,2.2,15.8,1.7,46.3,1008.7,7.6,2.1,8.6
108,2004-03-16,14.5,8.8,18.7,3.4,46.1,1003.4,4.1,6.4,12.4
108,2004-03-17,4.9,-1,16.3,4.4,65.9,1008.2,2,8,7.8
108,2004-03-18,2.1,-1.8,7,3.3,32.6,1015.7,10.5,1,4.1
108,2004-03-19,4.2,-0.5,9.6,2.2,43.3,1013.7,6.8,4.5,5.3
108,2004-03-20,7,2.2,12.3,2.1,44.8,1011.9,10.1,3.5,8.3
108,2004-03-21,10,4,15.5,1.6,43.8,1009.9,5.2,8.9,9.7
108,2004-03-22,10.8,7.5,16,2.6,45.8,1008.2,8.4,3.8,12
108,2004-03-23,9,4.5,14,2.5,43.4,1008.1,9.9,2.6,10.4
108,2004-03-24,8.9,6.3,13.1,2.8,65.9,1008.3,7.7,5.9,11.4
108,2004-03-25,9.1,5.5,14.3,2.4,54.9,1007.8,8.5,3.6,11
108,2004-03-26,10.6,4.5,16.2,2,39.5,1010.7,10.6,0,12.3
108,2004-03-27,10.8,6,16.2,2.1,32.9,1012.4,10.8,1.1,14.5
108,2004-03-28,11.7,4.4,18.2,2.3,28.5,1010.3,9.7,2.1,13.1
108,2004-03-29,14.1,11.1,18,2.2,51.1,1007.2,0,9.4,13.8
108,2004-03-30,9.7,5.9,13.6,4.3,51,1003.8,8.6,4.4,12.6
108,2004-03-31,7.9,3.9,12.3,2.8,31.4,1010.3,10,0,11.7
108,2004-04-01,9.1,4.1,16.7,2.5,51.5,1003.8,4.3,7.3,9.3
108,2004-04-02,5.6,4.5,7.5,4.6,70.9,1002.4,1.2,7.5,6.5
108,2004-04-03,6.4,2.7,9.6,2.2,59.5,1009.4,3.7,4,6.8
108,2004-04-04,7.6,2.7,13,2.6,43,1010.5,10.6,0,10
108,2004-04-05,9.1,4.5,14.6,2.9,48.4,1007.6,10.7,0,12
108,2004-04-06,7.9,5.5,10.8,1.5,57.3,1006.9,0,9,7.1
108,2004-04-07,10.3,7.4,15.1,2.6,41.4,1007.1,8.6,5.8,12.6
108,2004-04-08,10.5,4.8,15.8,3,30.1,1007.4,10.8,0,12.7
108,2004-04-09,13,7.4,19.7,2.7,47.6,1005.9,10.2,0,14.7
108,2004-04-10,15.1,8.5,21.3,2.1,40.9,1005.6,8.7,5.6,17
108,2004-04-11,16.1,12.1,22.2,2.5,44.4,1003.5,10.7,2.5,19.5
108,2004-04-12,16.6,11.5,21.7,1.7,59.9,1003.4,5.5,4.3,16.8
108,2004-04-13,17.1,13,22.7,2.8,47.5,1003.9,9.8,3.3,19.2
108,2004-04-14,16.8,12,23.3,2.4,41.4,1005,10.8,1.6,19.9
108,2004-04-15,15.5,10.3,21.7,2.3,46.5,1002.6,5.2,3.5,17.5
108,2004-04-16,15.6,11.6,20.2,3.7,52.3,999.6,9.9,0,18.1
108,2004-04-17,17.5,11.3,23,2.9,40,1002.1,10.2,0.3,19.3
108,2004-04-18,19.7,11.8,27.3,1.8,40.4,1000,6.9,6.3,21
108,2004-04-19,14.2,12.1,16.1,3.1,94.4,992.2,0,10,14.6
108,2004-04-20,15.6,10.6,21.3,2.9,59.3,1001.7,9.6,3.1,17.3
108,2004-04-21,18.9,10.1,25.2,2.9,55.9,998,6.2,4.4,17.5
108,2004-04-22,16,13.1,19.1,3,65.6,995,0,6.5,14.6
108,2004-04-23,12.8,9.3,16.8,3.4,28.6,1003.1,11.2,0.6,15.7
108,2004-04-24,11.8,7.9,17.2,3.2,34.3,1008.5,9.8,2.6,16.7
108,2004-04-25,13,8.3,17.6,3.2,29.9,1008.7,10.2,2.9,17.1
108,2004-04-26,10.3,7.6,14.3,3.8,57.6,997,0,9.6,9.7
108,2004-04-27,8.2,5.9,11.8,3.2,73.4,995.9,1.6,6.8,8.9
108,2004-04-28,11.9,5.1,18.1,2.2,53.9,1007,11.4,0.3,13.3
108,2004-04-29,14.8,7.5,21.7,2.8,45.1,1005.5,11,2.5,17
108,2004-04-30,17.3,13.1,22.6,1.6,64.4,1005.7,1.5,7.3,17.2
108,2004-05-01,19.6,13.1,25.7,2.7,49.6,1008.5,9.3,4.1,22.6
108,2004-05-02,17.4,15.5,20.2,2.7,67.1,1004.8,0.2,8.9,17.2
108,2004-05-03,14.8,11.1,17.1,2.7,95,995.5,0,10,15.2
108,2004-05-04,14.2,9.3,20.3,2.5,57.4,998.2,11.2,1.1,17
108,2004-05-05,15.5,8.8,21.8,3.9,58.4,999.2,11.6,0,17.5
108,2004-05-06,16.9,13.8,21.8,3,50.3,1003.7,10.9,1.6,20.2
108,2004-05-07,17.7,9.6,24.6,1.7,34.4,1007.3,9,3.6,18.7
108,2004-05-08,18.1,13.6,21.5,1.9,51.1,1001.9,0,8.6,16.5
108,2004-05-09,14.8,13.6,17.8,3.3,94.1,994.7,0,9.9,14.7
108,2004-05-10,14.9,13.6,16.2,2.6,91.9,995.5,0,10,15.4
108,2004-05-11,17.3,12,22.6,2,74.6,1001.3,5.6,6.1,18
108,2004-05-12,16.9,15.3,18.7,1.5,86.9,994.8,0,10,16.2
108,2004-05-13,15.8,13.6,19.2,2.9,81.3,996.4,2.2,5.8,16.1
108,2004-05-14,18.7,11.6,26,1.8,64.3,1005.9,10.4,2.8,21
108,2004-05-15,15.9,13.6,18.7,1.8,78.5,1001.5,0,9.5,15.5
108,2004-05-16,16.3,13,21.5,2.2,74.3,998.1,4.7,9.1,19.5
108,2004-05-17,14.5,12.8,17.7,3.9,78.6,997.2,2.6,7.1,15.5
108,2004-05-18,16.8,13.3,21.7,2.2,73.9,997.6,3.2,5.5,16.9
108,2004-05-19,19.3,16,24.2,5.2,61.4,991.5,7.1,5.6,21
108,2004-05-20,17.5,15.1,22.3,3,79.1,989.4,0.5,8.6,16.4
108,2004-05-21,16.7,13.6,21.8,3.3,66.3,989.5,9.6,4.1,19.1
108,2004-05-22,17.8,12.3,23.2,3.2,50.5,994.8,12,1.3,21.5
108,2004-05-23,17.4,12.8,22,2.6,61.1,999.2,9.1,2.6,22.8
108,2004-05-24,18.7,13.5,25,2.5,58.9,1002.1,12,0,23.6
108,2004-05-25,19.8,13.8,26,2.1,47.6,1003.4,11.5,2.4,24.3
108,2004-05-26,19.9,16.1,24.3,1.4,48.5,1004.9,0.3,9,19
108,2004-05-27,21.8,17.7,27.6,2,63.1,1005.6,5.7,8.4,24.7
108,2004-05-28,18.8,16.7,21.1,2.6,95.1,997,0,10,18.6
108,2004-05-29,20.1,16.7,24.7,1.9,81.5,999.4,3.3,6.4,22
108,2004-05-30,21.5,17.8,26.7,1.8,74.8,998.2,2.6,7.6,21.9
108,2004-05-31,20.6,16,25.7,2.8,45,1003.4,12.3,1.1,25.4
108,2004-06-01,21.2,14.6,28.2,1.4,51.4,1008.8,9.8,2.5,24.7
108,2004-06-02,23.3,15.8,30.6,1.9,47.3,1007.9,11.8,0.1,24.8
108,2004-06-03,26,18.7,32.5,1.7,49.6,1007.2,11.8,0.5,30.2
108,2004-06-04,26.3,20.2,32.4,1.9,48.4,1005.8,10,5.3,30.3
108,2004-06-05,25.8,21.7,31.2,1.7,37.6,1003.2,3.7,8.6,29.3
108,2004-06-06,23.4,22.1,25.1,2,47.5,1001.2,0,9.9,24.1
108,2004-06-07,21.5,20,24.7,1.7,53.1,999.2,0.4,9.6,23.3
108,2004-06-08,20,18,22.3,2.1,66.1,1000.5,0,8.4,21.9
108,2004-06-09,20.6,16,25.2,2.2,65.8,1002,11.7,1.5,27.9
108,2004-06-10,23.3,17.3,29,1.8,68.3,1004.5,9.9,2.1,29.7
108,2004-06-11,25.3,20.8,30.1,2.2,59.5,1003.5,8.1,3.9,28.9
108,2004-06-12,25,19.7,30.7,2.7,44.1,1004.2,11,0.9,29
108,2004-06-13,23.4,18.7,28.6,2.9,40.8,1006.6,12,0,30.3
108,2004-06-14,23.6,18.2,29,2.2,35,1005,11.6,3.4,31.3
108,2004-06-15,25.5,18.8,31.5,1.3,37.3,1004.4,10.8,5.6,30.4
108,2004-06-16,25.5,20.1,31,2,43.5,1003.8,5.1,7,29.6
108,2004-06-17,19.2,18.1,24.5,2.4,85,1002.5,0,9.9,20.3
108,2004-06-18,20.5,17.2,23.8,1.8,89.6,998.8,0,10,22
108,2004-06-19,20.7,19.6,22.7,2.3,93,995.2,0,10,21.4
108,2004-06-20,21.8,19.2,23.5,2.5,92.5,989.6,0,9.8,22.2
108,2004-06-21,22.5,19,26.7,2.6,80.1,988.3,1.9,8.4,24.4
108,2004-06-22,21,18.1,25,2.8,85.8,991.8,0.1,9.9,22.2
108,2004-06-23,22,19.3,27,2.2,85.1,993.7,0.8,9.9,23.5
108,2004-06-24,25.2,20.8,30.2,1.8,72.4,993,3.3,8.8,26.5
108,2004-06-25,25.2,21.3,29.6,2.1,65.6,991.8,5.4,7.3,26.6
108,2004-06-26,24.3,22.5,28.5,1.8,73,995.7,2.3,6.9,26.5
108,2004-06-27,24.5,21.8,28.7,2.2,72,997.9,8.2,4.5,29.4
108,2004-06-28,22.6,21,25.8,2.1,79.6,996.8,0,7.4,24.3
108,2004-06-29,22.1,20.5,24.7,2.1,80.9,994.6,0,9.5,23.3
108,2004-06-30,24.7,21.2,29.1,1.6,73.8,996.4,1.8,9.4,25.9
108,2004-07-01,24,22,26.7,1.9,77,995.3,0.6,10,26.6
108,2004-07-02,23.1,21.3,24.2,1.9,90.8,991.7,0,10,23.2
108,2004-07-03,24.4,22,26.8,1,85.9,993.6,0,10,24.6
108,2004-07-04,21.1,19.7,22.7,4.5,92.1,984,0,10,21.3
108,2004-07-05,22.8,19.5,26.2,3.8,80.5,988.6,1.6,9.9,24.1
108,2004-07-06,23.3,20.8,26.3,2,87.8,996.2,0.3,9.9,23.8
108,2004-07-07,21.5,20.7,22.2,1.8,95.4,993.9,0,10,22.2
108,2004-07-08,21.2,19.7,23.3,1.5,90.5,995.4,0,10,22.5
108,2004-07-09,22.7,19.7,27.3,1.9,78.6,998.7,4.7,7,25.4
108,2004-07-10,24.1,19.8,28.8,1.7,76.1,997.6,7.9,3.9,27.6
108,2004-07-11,23.4,21.1,27.7,1.6,82.6,996.1,0,8.1,25.5
108,2004-07-12,22.4,20.8,23.2,3,95.9,991.6,0,10,22.1
108,2004-07-13,21,19.7,22.8,1.5,93,996.6,0,9.5,21.5
108,2004-07-14,23.5,20.3,27.6,1,85.3,1000.7,0.6,9,24.3
108,2004-07-15,22.8,22.2,23.7,2.2,92.6,1002,0,10,22.7
108,2004-07-16,23,22.2,24.6,2.7,95.3,998.8,0,10,22.6
108,2004-07-17,22.3,21.6,23.2,2.7,94.1,996.4,0,9.3,22.4
108,2004-07-18,25.2,22.1,28.2,2.2,85.8,995.8,0.1,9.3,24.8
108,2004-07-19,26.4,25.2,28.3,4.6,82.3,997.8,0.5,9.6,25.9
108,2004-07-20,25.7,24.8,26.8,3.3,87.1,1001.7,0,10,24.8
108,2004-07-21,26.8,24.1,31.8,2.5,82.5,1004.8,4,6.6,28.4
108,2004-07-22,27.4,24.1,32,2,76.3,1002.7,9.3,3.5,30.1
108,2004-07-23,28.3,24,33.2,2.1,65,998.6,9.8,2.6,30.7
108,2004-07-24,27.6,23.7,30.8,2,62,995.8,1.2,7.1,28.2
108,2004-07-25,25.4,22.6,28,1.8,76.8,996.7,1.9,8.5,26.7
108,2004-07-26,26.5,23.8,29.2,2.1,77.1,999.4,0.5,9.3,25.8
108,2004-07-27,27.6,24.7,30.2,2.8,73.4,1000.6,1.4,8.5,26.9
108,2004-07-28,28.7,26,32.7,2.7,71.8,1002.1,9.1,5,32.1
108,2004-07-29,28.9,24.1,33.2,1.7,69.9,1001.5,10.1,2.1,32.7
108,2004-07-30,29.2,25.2,33.4,2.2,65.1,999.6,11.2,0.8,34.1
108,2004-07-31,29.9,24.7,34.5,1.9,64.4,997.4,10.6,1.6,34.6
108,2004-08-01,29.4,25.3,34.2,3.2,57,995.7,10.3,3.5,36.3
108,2004-08-02,28.3,23.7,33.2,2.3,61.3,995.9,11.4,2.3,35.5
108,2004-08-03,28.8,25.7,32.7,2.2,66.3,995.8,6.3,4.6,34.6
108,2004-08-04,28.5,23.2,32.9,1.7,68.8,996.5,6.5,4.8,33.1
108,2004-08-05,27.6,23.8,32.7,2.1,75.3,999.1,4.3,6.6,31
108,2004-08-06,28.3,24.7,32.9,2.3,70.6,1001.7,6.7,3.9,30.1
108,2004-08-07,28.5,26.2,32.4,2.5,72.3,999.5,6.1,4.9,29.7
108,2004-08-08,27.8,26.1,32,2.7,76.3,997.8,3.1,7.9,30.5
108,2004-08-09,28.6,25,33,2.1,70.6,998.2,9.2,4,32.8
108,2004-08-10,30.2,25.2,36.2,1.7,67.1,998.5,8.9,0.8,34.4
108,2004-08-11,30.4,25.6,35.7,2.1,53.1,999.8,11.6,0.1,35
108,2004-08-12,29.6,25.6,34.7,2.3,60.5,998.8,10.1,1.4,33.8
108,2004-08-13,28.7,26,32.7,2.7,68.5,999.4,8.1,3.4,33.3
108,2004-08-14,26.3,24,29.2,1.7,74.5,999.8,2,8.9,27.6
108,2004-08-15,26.7,22.8,31,1.9,66.6,999,4.7,7.5,28.5
108,2004-08-16,25,21.5,29.1,1.9,80,998.2,0.2,9.9,25.9
108,2004-08-17,23.1,21.1,26.2,2.4,91.1,997.6,0.1,9.9,23.8
108,2004-08-18,23.2,22,25,2.3,93.6,994.6,0,10,23.9
108,2004-08-19,21.8,19.1,25.3,3.9,77.6,992.3,0.7,9,23.9
108,2004-08-20,23.5,20.5,26.8,2.4,65.6,1000.7,3.2,7.5,24.2
108,2004-08-21,23.3,21,25.5,2.1,77.5,1002.8,0.1,8.6,24
108,2004-08-22,22.8,21.3,25.2,3.1,74.4,1003.4,0,9.1,22.9
108,2004-08-23,22.8,20.5,26,3,65.8,1001.6,2.6,7.1,24
108,2004-08-24,23.9,18.7,29.2,1.6,67.3,1000.5,6.5,3.1,26
108,2004-08-25,24.2,20.7,27.5,1.7,72.9,999.5,1.2,8.3,24.1
